"nuclide","independent age uncertainty","elevation","id","density","independent age","default sea level pressure","thickness","longitude","latitude","shielding factor","cosmogenic inventory uncertainty","default lapse rate","default sea level temperature","cosmogenic inventory"
3He,100.0,1561.0,10596-1,3.3,2250.0,1039.0,1e-05,238.21,44.263,1.0,140000.0,6.3,16.0,860000.0
3He,100.0,1561.0,10596-2,3.3,2250.0,1039.0,1e-05,238.21,44.263,1.0,110000.0,6.3,16.0,640000.0
3He,110.0,1335.0,10581,3.3,3250.0,1040.0,1e-05,238.45,41.768,1.0,70000.0,6.3,18.0,970000.0
3He,50.0,1324.0,10591A,3.0,7670.0,1040.0,1e-05,238.45,43.523,1.0,240000.0,6.3,17.0,2170000.0
3He,400.0,860.0,10717,3.0,8570.0,1040.0,1e-05,2.983,45.617,1.0,110000.0,6.4,16.0,1730000.0
3He,190.0,1198.0,10586,3.3,12600.0,1040.0,1e-05,238.39,41.329,1.0,150000.0,6.4,19.0,3130000.0
3He,550.0,1455.0,8007,3.3,17300.0,1043.0,1e-05,247.47,38.935,1.0,130000.0,6.7,22.0,6250000.0
3He,530.0,1380.0,9504-1,3.3,17440.0,1043.0,1e-05,247.59,42.856,1.0,170000.0,6.6,19.0,5930000.0
3He,530.0,1380.0,9504-2,3.3,17440.0,1043.0,1e-05,247.59,42.856,1.0,310000.0,6.6,19.0,6200000.0
3He,530.0,1380.0,9504-3,3.3,17440.0,1043.0,1e-05,247.59,42.856,1.0,220000.0,6.6,19.0,6250000.0
3He,550.0,1455.0,9352-1,3.3,17300.0,1043.0,1e-05,247.475,38.933,1.0,150000.0,6.7,21.0,6460000.0
3He,550.0,1455.0,9352-2,3.3,17300.0,1043.0,1e-05,247.47,38.933,1.0,180000.0,6.7,21.0,6310000.0
3He,550.0,1455.0,9352-3,3.3,17300.0,1043.0,1e-05,247.47,38.933,1.0,150000.0,6.7,21.0,6440000.0
3He,550.0,1455.0,9354-1,3.3,17300.0,1043.0,1e-05,247.47,38.933,1.0,210000.0,6.7,21.0,6490000.0
3He,550.0,1455.0,9354-2,3.3,17300.0,1043.0,1e-05,247.47,38.933,1.0,130000.0,6.7,21.0,6190000.0
3He,80.0,1533.0,B1-2676,3.3,2780.0,1043.0,1e-05,238.14,44.241,1.0,30000.0,6.3,16.0,1090000.0
3He,80.0,1536.0,B2-3018,3.3,2780.0,1039.0,1e-05,238.15,44.25,1.0,70000.0,6.3,16.0,785000.0
3He,80.0,1536.0,B2-2674,3.3,2780.0,1039.0,1e-05,238.15,44.25,1.0,41000.0,6.3,16.0,851000.0
3He,80.0,1536.0,B3-3038,3.3,2780.0,1039.0,1e-05,238.15,44.24,1.0,110000.0,6.3,16.0,1230000.0
3He,80.0,1536.0,B3-3039,3.3,2780.0,1039.0,1e-05,238.85,44.24,1.0,45000.0,6.3,16.0,976000.0
3He,80.0,1478.0,B4-2891,3.3,2780.0,1039.0,1e-05,238.13,44.241,1.0,47000.0,6.3,16.0,846000.0
3He,80.0,1515.0,B5-2776,3.3,2780.0,1039.0,1e-05,238.14,44.241,1.0,34000.0,6.3,16.0,953000.0
3He,100.0,925.0,C1-2098,3.3,2860.0,1039.0,1e-05,238.01,44.37,1.0,24000.0,6.3,16.0,667000.0
3He,100.0,966.0,C2-0914,3.3,2860.0,1039.0,1e-05,238.01,44.365,1.0,55000.0,6.3,16.0,715000.0
3He,100.0,966.0,C2-3004,3.3,2860.0,1039.0,1e-05,238.01,44.365,1.0,86000.0,6.3,16.0,644000.0
3He,100.0,924.0,C3-2830,3.3,2860.0,1039.0,1e-05,238.01,44.364,1.0,36000.0,6.3,16.0,577000.0
3He,100.0,930.0,C4-2906,3.3,2860.0,1039.0,1e-05,238.01,44.365,1.0,48000.0,6.3,16.0,674000.0
3He,100.0,933.0,C5-2877,3.3,2860.0,1039.0,1e-05,238.01,44.369,1.0,55000.0,6.3,16.0,727000.0
3He,140.0,1347.0,LB1-0886,3.3,7040.0,1039.0,1e-05,238.62,43.909,1.0,109000.0,6.3,16.0,2310000.0
3He,140.0,1216.0,LB3-1444,3.3,7040.0,1039.0,1e-05,238.61,43.986,1.0,78000.0,6.3,16.0,2080000.0
3He,90.0,37.0,K87-05,3.3,2270.0,1034.0,1e-05,204.99,19.1075,1.0,44300.0,6.3,16.0,84000.0
3He,90.0,18.0,K87-31,3.3,820.0,1034.0,1e-05,204.9992,19.1194,1.0,17200.0,5.7,24.0,91600.0
3He,120.0,2316.0,KS87-43,3.3,2770.0,1035.0,1e-05,205.0,19.7,1.0,106000.0,6.3,16.0,837000.0
3He,90.0,24.0,T87-8-1,3.3,2270.0,1034.0,1e-05,204.99,19.1064,1.0,22200.0,6.3,16.0,140000.0
3He,90.0,24.0,T87-8-2,3.3,2270.0,1035.0,1e-05,204.99,19.1064,1.0,22200.0,6.3,16.0,82500.0
3He,3000.0,530.0,LBA-98-064,3.3,109000.0,1029.0,1e-05,289.25,-45.75,1.0,416000.0,6.3,16.0,24600000.0
3He,3000.0,530.0,LBA-98-065,3.3,109000.0,1029.0,1e-05,289.25,-45.75,1.0,320000.0,6.3,16.0,25400000.0
3He,3000.0,400.0,LBA-98-093,3.3,109000.0,1029.0,1e-05,289.25,-45.75,1.0,219000.0,6.3,16.0,22100000.0
3He,3000.0,400.0,LBA-98-096,3.3,109000.0,1029.0,1e-05,289.25,-45.75,1.0,617000.0,6.3,16.0,22400000.0
3He,3000.0,380.0,PAT-98-072,3.3,109000.0,1029.0,1e-05,289.25,-45.75,1.0,1040000.0,6.3,16.0,22100000.0
3He,3000.0,900.0,LBA-01-047,3.3,68000.0,1028.0,1e-05,289.1,-47.07,1.0,314000.0,6.3,16.0,19800000.0
3He,3000.0,900.0,LBA-01-047-1,3.3,68000.0,1028.0,1e-05,289.1,-47.07,1.0,217000.0,6.3,16.0,19400000.0
3He,3000.0,905.0,LBA-01-048,3.3,68000.0,1028.0,1e-05,289.1,-47.07,1.0,323000.0,6.3,16.0,21000000.0
3He,3000.0,905.0,LBA-01-048-1,3.3,68000.0,1028.0,1e-05,289.1,-47.07,1.0,321000.0,6.3,16.0,19300000.0
3He,26000.0,197.5,TA,3.3,152000.0,1041.0,1e-05,346.63,28.57,1.0,500000.0,6.2,24.0,14200000.0
3He,19000.0,35.0,AFB,3.3,281000.0,1041.0,1e-05,346.63,28.57,1.0,450000.0,6.4,24.0,23400000.0
