age,latitude,longitude
0,79,289.1
100,82.3,288.2
200,81,297.1
300,81.1,307.1
400,85.6,316.7
500,86.3,301.5
600,84.8,228.3
700,83.2,189.1
800,84.3,135.2
900,85.3,110
1000,81.3,76
1100,80.2,38
1200,81.8,28
1300,84.1,33.4
1400,85.6,6.6
1500,86.1,343.5
1600,86,316.3
1700,88.9,131.9
1800,87.7,160.3
1900,87.7,143.9
2000,86.4,121.4
2100,85.1,5.4
2200,85.6,18.5
2300,84.5,28.9
2400,84.9,34.6
2500,84.3,28.5
2600,81.4,45.1
2700,78.7,55.4
2800,79.3,72.5
2900,80.8,74.2
3000,82.9,69.2
3100,83.4,62.9
3200,83.2,50.9
3300,80.5,49.8
3400,81.9,53.2
3500,83.1,54.8
3600,85.2,73.2
3700,85.5,102
3800,86.1,133.1
3900,85.8,161.9
4000,86,175.5
4100,86.2,147.8
4200,86.7,111.7
4300,86.6,87.1
4400,86.6,76.4
4500,86.4,111.8
4600,86.9,142.4
4700,86.7,171.2
4800,85.6,167.8
4900,84.8,171.5
5000,85.1,173.3
5100,84.9,178.6
5200,85.9,186.4
5300,86.3,177.2
5400,86.9,183.8
5500,87.7,116.2
5600,86.1,93.2
5700,87.1,112.9
5800,87.1,151.6
5900,86.2,144.3
6000,86.4,142.8
6100,85.8,138.6
6200,85.3,115.9
6300,86.1,127.9
6400,85.6,118.4
6500,85.7,134.1
6600,87,149
6700,87.8,148.7
6800,88.5,136.5
6900,87.4,125.7
7000,87.4,123.7
7100,85.6,153.8
7200,82.9,172.4
7300,83.7,187.1
7400,85.9,214.1
7500,88.6,232.8
7600,87.9,309.4
7700,87.5,2.4
7800,86.3,10.6
7900,84.6,358.1
8000,83.1,6.8
8100,84.3,36.2
8200,85.1,45.3
8300,85.2,56.8
8400,85.7,65.3
8500,86.6,78
8600,87.6,103.1
8700,88.3,136.5
8800,87.4,166.9
8900,86.9,138.2
9000,86.5,117.9
9100,89,117.3
9200,88.8,180.9
9300,88.1,210.1
9400,87.4,215.6
9500,86.7,226.2
9600,88.4,214.8
9700,89.3,98.6
9800,87,88
9900,88.1,41.8
10000,84.4,82.6
