"nuclide","elevation","id","density","default sea level pressure","thickness","published age uncertainty","latitude","shielding factor","cosmogenic inventory uncertainty","longitude","published age","default lapse rate","landform group","default sea level temperature","cosmogenic inventory"
10Be,4760.0,WG-11,2.6,1044.0,1.0,3316.0,32.042,1.0,61000.0,80.02,38787.0,6.4,M1,25.0,3468400.0
10Be,4760.0,WG-12,2.6,1044.0,1.0,3231.0,32.042,1.0,59700.0,80.02,37771.0,6.4,M1,25.0,3357900.0
10Be,4760.0,WG-13,2.6,1044.0,1.0,3681.0,32.042,1.0,96000.0,80.02,42132.0,6.4,M1,25.0,3813700.0
10Be,4760.0,WG-14,2.6,1044.0,1.0,1832.0,32.042,1.0,44100.0,80.02,20982.0,6.4,M1,25.0,1763500.0
10Be,4760.0,WG-15,2.6,1044.0,1.0,3934.0,32.042,1.0,100800.0,80.02,45094.0,6.4,M1,25.0,4085000.0
10Be,4760.0,WG-16,2.6,1044.0,1.0,1819.0,32.042,1.0,44500.0,80.02,20803.0,6.4,M1,25.0,1748100.0
10Be,4760.0,WG-17,2.6,1044.0,1.0,3437.0,32.042,1.0,103900.0,80.02,38662.0,6.4,M1,25.0,3454700.0
10Be,4760.0,WG-18,2.6,1044.0,1.0,3525.0,32.042,1.0,95200.0,80.02,40196.0,6.4,M1,25.0,3620400.0
10Be,4760.0,WG-19,2.6,1044.0,1.0,3112.0,32.042,1.0,69800.0,80.02,35965.0,6.4,M1,25.0,3157000.0
10Be,4645.0,WG-20,2.6,1044.0,1.0,13622.0,32.042,1.0,167300.0,80.02,160980.0,6.4,M2W,25.0,13225000.0
10Be,4645.0,WG-21,2.6,1044.0,1.0,12170.0,32.042,1.0,233400.0,80.02,141550.0,6.4,M2W,25.0,11802000.0
10Be,4645.0,WG-22,2.6,1044.0,1.0,8823.0,32.042,1.0,152400.0,80.02,103190.0,6.4,M2W,25.0,8657000.0
10Be,4645.0,WG-23,2.6,1044.0,1.0,11628.0,32.042,1.0,100600.0,80.02,138230.0,6.4,M2W,25.0,11569000.0
10Be,4640.0,WG-24,2.6,1044.0,1.0,15426.0,32.042,1.0,202000.0,80.02,181980.0,6.4,M2W,25.0,14826000.0
10Be,4640.0,WG-25,2.6,1044.0,1.0,11824.0,32.042,1.0,147800.0,80.02,139730.0,6.4,M2W,25.0,11647000.0
10Be,4640.0,WG-26,2.6,1044.0,1.0,9630.0,32.042,1.0,128200.0,80.02,113650.0,6.4,M2W,25.0,9582300.0
10Be,4640.0,WG-27,2.6,1044.0,1.0,11628.0,32.042,1.0,210500.0,80.02,135690.0,6.4,M2W,25.0,11359000.0
10Be,4490.0,WG-1,2.6,1044.0,1.0,15067.0,32.042,1.0,226500.0,80.02,176480.0,6.4,M2E,25.0,13342000.0
10Be,4492.0,WG-2,2.6,1044.0,1.0,17159.0,32.042,1.0,114800.0,80.02,204280.0,6.4,M2E,25.0,15473000.0
10Be,4494.0,WG-3,2.6,1044.0,1.0,27434.0,32.042,1.0,255800.0,80.02,325110.0,6.4,M2E,25.0,23292000.0
10Be,4496.0,WG-4,2.6,1044.0,1.0,22161.0,32.042,1.0,321800.0,80.02,259640.0,6.4,M2E,25.0,19057000.0
10Be,4498.0,WG-5,2.6,1044.0,1.0,15303.0,32.042,1.0,186700.0,80.02,180540.0,6.4,M2E,25.0,13722000.0
10Be,4500.0,WG-6,2.6,1044.0,1.0,12625.0,32.042,1.0,291500.0,80.02,144060.0,6.4,M2E,25.0,11181000.0
10Be,4520.0,WG-7,2.6,1044.0,1.0,26423.0,32.042,1.0,172200.0,80.02,314540.0,6.4,M2E,25.0,22912000.0
10Be,4540.0,WG-8,2.6,1044.0,1.0,12734.0,32.042,1.0,194300.0,80.02,149320.0,6.4,M2E,25.0,11777000.0
10Be,4550.0,WG-9,2.6,1044.0,1.0,11126.0,32.042,1.0,94700.0,80.02,132240.0,6.4,M2E,25.0,10637000.0
10Be,4555.0,WG-10,2.6,1044.0,1.0,15484.0,32.042,1.0,123100.0,80.02,184120.0,6.4,M2E,25.0,14439000.0
