CAMS#,Depth(cm),14C Age,error(1-sigma),Median calibrated age(OxCal),1-sigma
152757,5.5,475,30,,
152758,41.5,1565,30,916,46
152759,90.5,2465,30,1868,49
152760,150.5,3030,35,2649,55
152761,200.5,4395,30,4292,62
156467,220.5,4765,35,4790,59
152762,260.5,5485,30,5640,42
156468,340.5,6790,35,7143,57
152763,420.5,9430,35,10036,80
156469,460.5,10045,40,10794,112
152764,520.5,11730,40,13020,85
156470,560.5,12910,45,14557,265
159387,580.5,14160,40,16721,109
156471,600.5,15370,70,17886,146
152765,640.5,16570,60,19264,122
159388,680.5,21150,70,24526,171
156472,700.5,23160,160,26963,307
156473,780.5,27170,260,31104,162
156474,840.5,29180,340,33901,454
152766,900.5,34930,450,38372,667

