SampleID,Core-Drive,TotalDepth,Material,14C Age,Error,Calib6.0 Age(2sigma)
89203,"C10-D1",22.5,Charcoal,380,30,"319-505"
109356,"C10-D1",36.5,Charcoal,1245,25,"1,082-1,267"
89204,C10-D1,46.5,Wood,1570,40,"1,375-1,541"
89205,C10-D1,65,Seeds,2700,15,"2,761-2,844"
89206,C10-D1,101,Wood,4160,45,"4,538-4,834"
89207,C10-D1,165,Charcoal,6960,70,"7,673-7,935"
89208,C10-D2,195.5,Charcoal,8000,100,"8,585-9,134"
89209,C10-D2,200.5,Charcoal,8130,60,"8,795-9,285"
89210,E10-D2,277.5,Charcoal,8450,80,"9,272-9,550"
89211,E10-D2,281,Charcoal,8820,160,"9,537-10,233"
109357,E10-D2,302.5,Charcoal,10310,160,"11,407-12,577"
109358,E10-D2,320.5,Plant material,10690,190,"12,059-13,068"
109359,E10-D2,351.5,Seeds,8770,370,"8,787-11,065"
89212,E10-D2,362.5,Wood,13560,100,"16,359-16,967"
109360,E10-D2,383.5,Plant material,10740,310,"11,643-13,285"
89213,E10-D2,412.5,Charcoal,25900,320,"29,848-31,193"
131490,A12-D1,73.5,Seed,12670,380,"13,854-16,526"
131489,E12-D1,93.5,Wood,8650,100,"9,468-10,119"
131489,E12-D2,118.5,Wood,11820,300,"13,093-14,841"
116879,E12-D2,120.5,Wood,12175,35,"13,872-14,174"
