id,cosmogenic inventory,cosmogenic inventory uncertainty,elevation,published age,published age uncertainty,latitude,longitude,nuclide,source,density,shielding factor
CVF-Qf3-P1-1,17.7,1.9,795,85000,9000,35.11,115.5,3He,613,2.65,1
CVF-Qf3-P1-2,16.7,2,795,85085,9000,35.11,115.5,3He,613,2.65,1
CVF-Qv4-FS5-1,17.3,1.7,980,72144,7000,35.11,115.5,3He,613,2.65,1
CVF-Qv4-P4-1,15.5,2.2,980,65195,9000,35.11,115.5,3He,613,2.65,1
CVF-Qv4-FS3-1,15.4,1.4,795,74296,7000,35.11,115.5,3He,613,2.65,1
CVF-Qv5-P2-1,10.6,1.6,1088,41205,6000,35.11,115.5,3He,613,2.65,1
CVF-Qv5-P3-1,8.1,1.6,1088,31186,6000,35.11,115.5,3He,613,2.65,1
CVF-Qv5-P4-1,10,2.6,1088,39273,10000,35.11,115.5,3He,613,2.65,1
CVF-Qv5-P5-1,9.2,1.7,1088,35280,7000,35.11,115.5,3He,613,2.65,1
CVF-Qv5-FS6-1,9.5,1.6,1088,37333,6000,35.11,115.5,3He,613,2.65,1
CVF-Qv5-FS7-1,8.1,1.7,1088,31310,7000,35.11,115.5,3He,613,2.65,1
CVF-Qv6-FS1-1,2.8,0.5,790,13143,3000,35.11,115.5,3He,613,2.65,1
CVF-Qv6-CS1-1,4.3,2.8,964,18216,12000,35.11,115.5,3He,613,2.65,1
CVF-Qv6-CS2-1,4.8,2.4,964,20260,10000,35.11,115.5,3He,613,2.65,1
