id,landform group,latitude,longitude,elevation,thickness,pitted,bedrock,published age,published age uncertainty,clRatio,clRatio uncertainty,CaO,K2O,nuclide,density,source,shielding factor
DR-00-1,Drangsnes,65.714,21.405,101,1,yes,1,22500,3200,231,42,12.41,0.23,36ClPub,2.65,fulltext5,1
GV-00-1,Goddalur,65.802,21.574,50,2,0,1,12200,3200,138,31,12.06,0.27,36ClPub,2.65,fulltext5,1
GV-00-2,Goddalur,65.797,21.597,81,3,yes,1,17100,1900,253,32,11.08,0.45,36ClPub,2.65,fulltext5,1
ME-00-1,Meladalur,66.029,21.572,50,3,0,1,10800,2400,136,29,11.19,0.36,36ClPub,2.65,fulltext5,1
RF-00-5,Reykjarfjordur,65.952,21.602,62,2,0,0,10500,4300,52,17,1.25,2.15,36ClPub,2.65,fulltext5,1
VF-00-1,Veidileysafjordur,65.921,21.476,120,2,0,1,15500,2200,169,24,12.17,0.19,36ClPub,2.65,fulltext5,1
AR-01-01,Armuli,66.053,22.436,376,3,yes,1,20900,900,239,12,9.08,0.05,36ClPub,2.65,fulltext5,1
AR-01-02,Armuli,66.054,22.434,370,2,yes,1,19900,1300,160,10,9.03,0.11,36ClPub,2.65,fulltext5,1
AR-01-03,Armuli,66.056,22.438,352,3,FALSE,0,11300,600,111,5,9.16,0,36ClPub,2.65,fulltext5,1
KA-01-19,Kaldalon,66.098,22.359,27,2,FALSE,0,11800,800,137,10,9.17,0.02,36ClPub,2.65,fulltext5,1
KA-01-20,Kaldalon,66.099,22.36,25,2,yes,0,8400,900,96,10,9.73,0,36ClPub,2.65,fulltext5,1
KA-01-21,Kaldalon,66.097,22.357,27,2,FALSE,0,11500,900,121,9,8.39,0.21,36ClPub,2.65,fulltext5,1
LA-01-02,Laugaland,66.032,22.439,61,3,FALSE,0,14100,900,126,8,9.33,0.04,36ClPub,2.65,fulltext5,1
LA-01-03,Laugaland,66.032,22.439,60,2,FALSE,0,13400,1100,138,12,9.86,0.19,36ClPub,2.65,fulltext5,1
LA-01-05,Laugaland,66.023,22.435,117,3,FALSE,0,14300,500,126,8,8.74,0.04,36ClPub,2.65,fulltext5,1
LA-01-06,Laugaland,66.023,22.435,119,2,FALSE,0,16600,800,172,8,8.87,0.08,36ClPub,2.65,fulltext5,1
LA-01-07,Laugaland,66.023,22.436,110,2,FALSE,0,30700,800,172,10,10.12,0.29,36ClPub,2.65,fulltext5,1
LE-01-03,Leirufjordur,66.205,22.493,21,2,yes,0,4100,900,137,37,10.1,0.13,36ClPub,2.65,fulltext5,1
