id,elevation,boulder size,latitude,longitude,published age,published age uncertainty,landform group,cosmogenic inventory,cosmogenic inventory uncertainty,nuclide,density,source,shielding factor
LBA-01-01,445,1.15,46.36142,71.2987,12800,3900,Fenix I,6.091,1.583,26Al,2.65,kaplan,1
LBA-01-05,438,0.25,46.35432,71.29153,16000,1600,Fenix I,10.093,2.217,26Al,2.65,kaplan,1
LBA-01-06,438,1,46.3537,71.5611,15800,1700,Fenix I,6.201,0.69,26Al,2.65,kaplan,1
LBA-98-78,454,4.68,37.3571,71.29349,1600,0,Fenix II,9.689,0.597,26Al,2.65,kaplan,1
LBA-98-97,430,0.85,46.33203,71.19353,18100,1700,Fenix II,8.276,1.207,26Al,2.65,kaplan,1
LBA-98-98,430,0.57,46.33203,71.19353,19900,2100,Fenix II,6.197,0.62,26Al,2.65,kaplan,1
LBA-98-120,510,0.75,46.24188,71.49201,22900,2300,Fenix III,10.331,0.867,26Al,2.65,kaplan,1
LBA-98-123,510,0.8,46.24174,71.49245,19100,1900,Fenix III,8.394,0.627,26Al,2.65,kaplan,1
LBA-98-135,439,0.8,46.37226,70.5727,22700,2400,Fenix V,10.287,2.066,26Al,2.65,kaplan,1
LBA-01-22,452,0.32,46.37166,70.57117,22600,2100,Fenix V,10.038,0.507,26Al,2.65,kaplan,1
LBA-01-60,439,0.75,46.37237,70.57307,23700,2400,Fenix V,9.687,1.137,26Al,2.65,kaplan,1
LBA-01-62,475,0.19,46.37279,70.54325,206300,22100,Moreno,50.003,1.559,26Al,2.65,kaplan,1
LBA-01-66,457,0.04,46.3757,70.55294,140000,13600,Moreno,67.577,1.641,26Al,2.65,kaplan,1
