d ,  S.cus,   S.cus_undiff  ,  S.ten ,  S.mag ,  S.pap  , S.imb ,  S.cap   , PoolHollow , Lawn ,  Hummock,fake
0,0,0,0,80,0,0,0,0,80,0,104.00363
1,0,0,0,74,0,0,0,0,74,0,98.54311
2,0,0,0,71,0,0,0,0,71,0,95.2398
3,0,0,0,79,0,0,0,0,79,0,99.32903
4,0,0,0,62,0,0,5,0,62,5,95.7637
5,0,0,0,53,0,0,8,0,53,8,89.2769
6,0,0,0,42,0,0,5,0,42,5,101.38066
7,0,0,0,43,0,0,8,0,43,8,99.97605
8,0,0,0,68,0,0,5,0,68,5,101.95089
9,0,0,0,55,0,0,8,0,55,8,102.2631
10,0,0,0,58,0,0,6,0,58,6,101.06694
11,0,0,0,68,0,0,5,0,68,5,102.59341
12,0,0,0,31,0,0,8,0,31,8,100.60882
13,0,0,0,44,0,0,5,0,44,5,103.14747
14,0,0,0,67,0,0,4,0,67,4,105.50368
15,0,0,0,63,0,0,3,0,63,3,96.68048
16,0,0,0,53,0,0,4,0,53,4,98.78794
17,0,0,0,49,0,0,1,0,49,1,99.60134
18,0,0,0,60,0,0,2,0,60,2,105.50086
19,0,0,0,83,0,0,2,0,83,2,99.65412
20,0,0,0,34,0,0,8,0,34,8,90.12209
21,0,0,0,5,0,0,50,0,5,50,95.28861
22,0,0,0,3,0,0,52,0,3,52,89.64519
23,0,0,0,0,0,0,62,0,0,62,91.71664
24,0,0,0,6,0,0,40,0,6,40,88.89654
25,0,0,0,0,0,0,27,0,0,27,92.7563
26,0,0,0,0,0,0,4,0,0,4,98.31783
27,0,0,0,0,0,0,2,0,0,2,96.51553
28,0,0,0,0,0,0,8,0,0,8,99.75661
29,0,0,0,0,0,0,73,0,0,73,96.68973
30,0,0,0,2,0,0,66,0,2,66,107.55319
31,0,0,0,0,0,0,65,0,0,65,108.5541
32,0,0,0,0,0,0,68,0,0,68,108.72778
33,0,0,0,0,0,0,75,0,0,75,106.55022
34,0,0,0,0,0,0,77,0,0,77,104.02231
35,0,0,0,2,0,0,72,0,2,72,105.77876
36,0,0,0,1,0,0,70,0,1,70,105.54771
37,0,0,0,0,0,0,74,0,0,74,104.73259
38,0,0,0,0,0,0,65,0,0,65,103.45321
39,0,0,0,0,0,0,72,0,0,72,95.33524
40,0,0,0,2,0,0,58,0,2,58,94.86879
41,0,0,0,6,0,0,46,0,6,46,95.7513
42,0,0,0,0,0,0,50,0,0,50,96.32879
43,0,0,0,0,0,0,65,0,0,65,93.10424
44,0,0,0,0,0,0,67,0,0,67,91.62458
45,0,0,0,0,0,0,66,0,0,66,94.23868
46,0,0,0,0,0,0,64,0,0,64,92.92522
47,0,0,0,0,0,0,65,0,0,65,86.00572
48,0,0,0,3,0,0,61,0,3,61,92.11232
49,0,0,0,0,0,0,61,0,0,61,93.77712
50,0,0,0,0,0,0,60,0,0,60,83.61907
51,0,0,0,0,0,0,68,0,0,68,97.54963
52,0,0,0,0,0,0,58,0,0,58,98.21204
53,0,0,0,0,0,0,67,0,0,67,91.81256
54,0,0,0,0,0,0,62,0,0,62,86.45119
55,0,0,0,0,0,0,54,0,0,54,84.29222
56,0,0,1,0,0,0,55,1,0,55,82.77928
57,0,0,0,0,0,0,72,0,0,72,83.87626
58,0,0,0,0,0,0,70,0,0,70,88.14724
59,5,0,47,0,0,0,10,52,0,10,86.54273
60,3,0,63,0,0,0,5,66,0,5,90.57073
61,2,0,59,0,0,0,3,61,0,3,88.79733
62,5,0,58,0,0,0,1,63,0,1,85.80054
63,4,0,60,0,0,0,0,64,0,0,88.32859
64,3,0,51,0,0,0,12,54,0,12,82.65466
65,0,0,6,0,0,0,57,6,0,57,85.71501
66,0,0,5,0,0,0,72,5,0,72,94.11836
67,0,0,4,0,0,0,74,4,0,74,94.45382
68,0,0,0,0,0,0,76,0,0,76,93.03118
69,0,0,0,0,0,0,78,0,0,78,95.87936
70,0,0,5,0,0,0,70,5,0,70,98.02666
71,2,0,10,0,0,0,61,12,0,61,99.60062
72,6,0,25,0,0,0,14,31,0,14,98.08861
73,5,0,18,0,0,0,17,23,0,17,101.98411
74,0,0,10,0,0,0,5,10,0,5,101.32067
75,0,0,5,0,0,0,10,5,0,10,107.62259
76,0,0,0,0,0,0,15,0,0,15,109.13874
77,0,0,0,0,0,0,8,0,0,8,106.06441
78,0,0,0,0,0,0,70,0,0,70,103.13313
79,0,0,0,0,0,0,15,0,0,15,112.50296
80,0,0,0,0,0,0,64,0,0,64,112.66855
81,0,0,0,0,0,0,67,0,0,67,112.96472
82,0,0,0,0,0,0,75,0,0,75,123.54342
83,0,0,0,0,0,0,71,0,0,71,132.73812
84,0,0,0,0,0,0,72,0,0,72,128.88652
85,0,0,0,0,0,0,0,0,0,0,124.40759
86,0,0,0,0,0,0,74,0,0,74,128.56586
87,0,0,0,0,0,0,82,0,0,82,130.11321
88,0,0,0,0,0,0,78,0,0,78,121.23634
89,0,0,0,0,0,0,71,0,0,71,126.68798
